FULLGAME_STRATEGY_V1
ITER	12000
INFOSET	FOLD	CHECK	CALL	BET	RAISE	ALL_IN	VISITS
flop|seat=0|bucket=106|tc=1|pot=1|n=2|h=ckb	0.0113636364	0.0000000000	0.0113636364	0.0000000000	0.6633276039	0.3139451233	22
flop|seat=0|bucket=106|tc=1|pot=1|n=2|h=ckbr	0.2696383808	0.0000000000	0.3436586917	0.0000000000	0.3077555591	0.0789473684	19
flop|seat=0|bucket=106|tc=1|pot=1|n=2|h=ckkb	0.2662935142	0.0000000000	0.2723257326	0.0000000000	0.2713512242	0.1900295290	7
flop|seat=0|bucket=106|tc=1|pot=1|n=2|h=crcb	0.2634035558	0.0000000000	0.3884388438	0.0000000000	0.3273242671	0.0208333333	12
flop|seat=0|bucket=106|tc=1|pot=1|n=2|h=rcb	0.2917765129	0.0000000000	0.3080244410	0.0000000000	0.3707872814	0.0294117647	17
flop|seat=0|bucket=106|tc=1|pot=1|n=2|h=rckb	0.2633471177	0.0000000000	0.2859642138	0.0000000000	0.2716348277	0.1790538408	8
flop|seat=0|bucket=106|tc=1|pot=2|n=2|h=rcbr	0.2006483597	0.0000000000	0.2187847011	0.0000000000	0.2087843158	0.3717826234	10
flop|seat=0|bucket=106|tc=1|pot=2|n=2|h=rrcb	0.2523847601	0.0000000000	0.3863051460	0.0000000000	0.3335323162	0.0277777778	9
flop|seat=0|bucket=107|tc=0|pot=0|n=2|h=ck	0.0000000000	0.1571257119	0.0000000000	0.7984298437	0.0000000000	0.0444444444	15
flop|seat=0|bucket=107|tc=0|pot=0|n=2|h=ckk	0.0000000000	0.7546438368	0.0000000000	0.2150531329	0.0000000000	0.0303030303	11
flop|seat=0|bucket=107|tc=0|pot=1|n=2|h=crc	0.0000000000	0.4636904723	0.0000000000	0.5045634959	0.0000000000	0.0317460317	21
flop|seat=0|bucket=107|tc=0|pot=1|n=2|h=crck	0.0000000000	0.4367503480	0.0000000000	0.4108081507	0.0000000000	0.1524415013	8
flop|seat=0|bucket=107|tc=0|pot=1|n=2|h=crrc	0.0000000000	0.4337763722	0.0000000000	0.4272422142	0.0000000000	0.1389814137	10
flop|seat=0|bucket=107|tc=0|pot=1|n=2|h=rc	0.0000000000	0.9259295708	0.0000000000	0.0462926514	0.0000000000	0.0277777778	12
flop|seat=0|bucket=107|tc=0|pot=1|n=2|h=rck	0.0000000000	0.1738372642	0.0000000000	0.8005217101	0.0000000000	0.0256410256	13
flop|seat=0|bucket=107|tc=0|pot=1|n=2|h=rrc	0.0000000000	0.5714285714	0.0000000000	0.2142857143	0.0000000000	0.2142857143	14
flop|seat=0|bucket=107|tc=0|pot=1|n=2|h=rrck	0.0000000000	0.4823108109	0.0000000000	0.4621336335	0.0000000000	0.0555555556	6
flop|seat=0|bucket=107|tc=0|pot=2|n=2|h=rrrc	0.0000000000	0.4862858584	0.0000000000	0.4660950940	0.0000000000	0.0476190476	7
flop|seat=0|bucket=107|tc=1|pot=1|n=2|h=ckb	0.0681818182	0.0000000000	0.0681818182	0.0000000000	0.7954545455	0.0681818182	11
flop|seat=0|bucket=107|tc=1|pot=1|n=2|h=ckbr	0.2981087168	0.0000000000	0.3438905481	0.0000000000	0.3267507351	0.0312500000	8
flop|seat=0|bucket=107|tc=1|pot=1|n=2|h=ckkb	0.1875000000	0.0000000000	0.2477437033	0.0000000000	0.1875000000	0.3772562967	4
flop|seat=0|bucket=107|tc=1|pot=1|n=2|h=crcb	0.2637453443	0.0000000000	0.2809202860	0.0000000000	0.2735269166	0.1818074531	7
flop|seat=0|bucket=107|tc=1|pot=1|n=2|h=rcb	0.2500000000	0.0000000000	0.2500000000	0.0000000000	0.2500000000	0.2500000000	7
flop|seat=0|bucket=107|tc=1|pot=1|n=2|h=rckb	0.2500000000	0.0000000000	0.2500000000	0.0000000000	0.2500000000	0.2500000000	4
flop|seat=0|bucket=107|tc=1|pot=2|n=2|h=rcbr	0.2757212853	0.0000000000	0.3160101951	0.0000000000	0.3457685196	0.0625000000	4
flop|seat=0|bucket=107|tc=1|pot=2|n=2|h=rrcb	0.0625000000	0.0000000000	0.2629815187	0.0000000000	0.0625000000	0.6120184813	4
flop|seat=0|bucket=108|tc=0|pot=0|n=2|h=ck	0.0000000000	0.0392156863	0.0000000000	0.9215686275	0.0000000000	0.0392156863	17
flop|seat=0|bucket=108|tc=0|pot=0|n=2|h=ckk	0.0000000000	0.0238095238	0.0000000000	0.9523809524	0.0000000000	0.0238095238	14
flop|seat=0|bucket=108|tc=0|pot=1|n=2|h=crc	0.0000000000	0.7333333333	0.0000000000	0.1333333333	0.0000000000	0.1333333333	15
flop|seat=0|bucket=108|tc=0|pot=1|n=2|h=crck	0.0000000000	0.4007884742	0.0000000000	0.4075167359	0.0000000000	0.1916947899	7
flop|seat=0|bucket=108|tc=0|pot=1|n=2|h=crrc	0.0000000000	0.3316364639	0.0000000000	0.3301100871	0.0000000000	0.3382534490	4
flop|seat=0|bucket=108|tc=0|pot=1|n=2|h=rc	0.0000000000	0.2733670579	0.0000000000	0.7028234183	0.0000000000	0.0238095238	14
flop|seat=0|bucket=108|tc=0|pot=1|n=2|h=rck	0.0000000000	0.9333333333	0.0000000000	0.0333333333	0.0000000000	0.0333333333	10
flop|seat=0|bucket=108|tc=0|pot=1|n=2|h=rrc	0.0000000000	0.6378796448	0.0000000000	0.3364793295	0.0000000000	0.0256410256	13
flop|seat=0|bucket=108|tc=0|pot=1|n=2|h=rrck	0.0000000000	0.3557395463	0.0000000000	0.3627876965	0.0000000000	0.2814727572	6
flop|seat=0|bucket=108|tc=0|pot=2|n=2|h=rrrc	0.0000000000	0.4743032921	0.0000000000	0.4590300412	0.0000000000	0.0666666667	10
flop|seat=0|bucket=108|tc=1|pot=1|n=2|h=ckb	0.0384615385	0.0000000000	0.8846153846	0.0000000000	0.0384615385	0.0384615385	13
flop|seat=0|bucket=108|tc=1|pot=1|n=2|h=ckbr	0.1041666667	0.0000000000	0.1041666667	0.0000000000	0.2430709646	0.5485957021	12
flop|seat=0|bucket=108|tc=1|pot=1|n=2|h=ckkb	0.2239614678	0.0000000000	0.2303840941	0.0000000000	0.2776968621	0.2679575760	4
flop|seat=0|bucket=108|tc=1|pot=1|n=2|h=crcb	0.2218803047	0.0000000000	0.2295075285	0.0000000000	0.2283665432	0.3202456237	4
flop|seat=0|bucket=108|tc=1|pot=1|n=2|h=rcb	0.1875000000	0.0000000000	0.1875000000	0.0000000000	0.2612583884	0.3637416116	8
